日期,鴻海_外資(張),鴻海_收盤,加權指數
2026-06-30,0,251.0,46125.91
2026-06-30,0,251.0,46125.91
2026-07-01,0,240.83,47018.99
2026-07-02,0,239.0,46744.16
2026-07-03,0,240.5,46780.62
2026-07-04,0,240.5,46780.62
2026-07-05,0,240.5,46780.62
2026-07-06,0,242.0,46556.39
2026-07-07,0,237.0,45479.11
2026-07-08,0,237.5,45734.41
2026-07-09,0,237.5,45354.61
2026-07-10,0,237.5,45354.61
2026-07-11,0,237.5,45354.61
2026-07-12,0,237.5,45354.61
2026-07-13,0,236.5,45380.52
2026-07-14,0,235.5,44737.95
2026-07-15,0,239.0,45631.59
2026-07-16,0,242.5,45624.98
2026-07-17,0,234.0,42671.27
2026-07-18,0,234.0,42671.27
2026-07-19,0,234.0,42671.27
2026-07-20,0,234.5,42449.7
2026-07-21,0,246.0,44232.87
2026-07-22,0,251.5,44825.78
2026-07-23,0,257.5,44850.81
